before,nano,dead
0.494065076,0.109995946,0.110252510
0.496552936,0.109984680,0.110180098
0.496264098,0.109957476,0.110452598
0.496114756,0.100002148,0.100223028
0.497174698,0.109963536,0.110196016
0.495589342,0.109990980,0.110132896
0.494752784,0.100020602,0.100952396
0.496367526,0.109993812,0.110191132
0.496487282,0.109993072,0.110166716
0.496950734,0.109961774,0.110152130
0.496592056,0.100004562,0.100199550
0.497267570,0.109971496,0.134889482
0.492157212,0.109996942,0.110336334
0.496531310,0.100000324,0.100243342
0.496914476,0.110009088,0.110213780
0.496675598,0.100002994,0.100765680
0.497267730,0.109963980,0.110095532
0.497280688,0.100000440,0.100181432
0.496231518,0.109997260,0.110142084
0.495181888,0.109996598,0.110137906
0.496856166,0.109995780,0.110243656
0.496838762,0.109984282,0.110162254
0.497089600,0.109996916,0.112555972
0.494517686,0.109995854,0.110331200
0.496130198,0.100000352,0.100195830
0.495083194,0.109997960,0.110114466
0.499966940,0.109997324,0.110106598
0.496006464,0.109982668,0.110687232
0.496969418,0.109998366,0.110493680
0.498494262,0.110001654,0.110136942
0.496993944,0.169995136,0.170165610
0.496893100,0.109998604,0.110166544
0.496849440,0.109974144,0.110241236
0.494476694,0.109996074,0.110103346
0.496797180,0.110001744,0.110146054
0.496966288,0.109998006,0.110195908
0.496695530,0.109949048,0.283578924
0.494312056,0.109994096,0.110178912
0.496452298,0.109992836,0.110163392
0.496854214,0.109992824,0.110244810
0.496528682,0.109949422,0.110211276
0.496042758,0.109999672,0.110157792
0.496639940,0.109998884,0.110245638
0.492182886,0.110029082,0.110363624
0.489819300,0.110001126,0.110253234
0.497530466,0.109991512,0.110285170
0.494365274,0.109863168,0.110188430
0.487428040,0.100031348,0.100527354
0.491734988,0.109962460,0.110200110
0.496659462,0.110033832,0.110239770
0.496547126,0.109980804,0.110212226
0.490217206,0.108593384,0.108929142
0.483268794,0.110000120,0.111007778
0.469924290,0.109996706,0.110514530
0.497004246,0.109997106,0.110148038
0.492267808,0.110014514,0.110317146
0.496497322,0.110001720,0.110392956
0.476235096,0.109995446,0.110263616
0.494775518,0.100001844,0.100158924
0.495275336,0.100001896,0.100438330
0.488982246,0.109981502,0.110327818
0.494421832,0.100037600,0.100359942
0.488005634,0.111379298,0.111607714
0.498158958,0.102560968,0.103004594
0.498773370,0.100025234,0.100344220
0.487502752,0.109945286,0.110120646
0.360837174,0.109945716,0.110228218
0.495336520,0.110087320,0.110354466
0.464822456,0.100000762,0.100305962
0.500018062,0.100145176,0.100480140
0.492456720,0.108336554,0.108616894
0.483517050,0.100004956,0.100476152
0.487383872,0.108576512,0.109620462
0.489988484,0.109646536,0.110066308
0.499002294,0.104903332,0.105170510
0.497778612,0.104042584,0.104385440
0.485392364,0.109996442,0.110455164
0.455276976,0.107676352,0.108143256
0.371025090,0.102946488,0.103368144
0.417335974,0.110037048,0.110301198
0.407237038,0.108596088,0.108781622
0.490718698,0.100010838,0.100437300
0.486686490,0.100008890,0.100526176
0.494295768,0.109920848,0.110261942
0.474358596,0.105466372,0.105750174
0.496248726,0.110019016,0.110239278
0.422509608,0.105913830,0.106081318
0.352950414,0.109993776,0.110274954
0.471369978,0.100460354,0.103697390
0.457585862,0.109947446,0.110286242
0.479966992,0.108883534,0.109235170
0.492955500,0.105890188,0.106434638
0.493216474,1.132869564,1.133148964
0.492200626,0.106388256,0.106888322
0.483249070,0.108908088,0.109242124
0.478908528,0.109755254,0.110058224
0.449868906,0.109980096,0.110642288
0.489800904,0.109955992,0.110392056
0.494796510,0.107937806,0.108137788
0.494043546,0.105771080,0.106108022
0.350981482,0.105043568,0.105215806
0.405284302,0.100683874,0.100861892
0.487638714,0.109932384,0.110201640
0.475490526,0.109872414,0.110158352
0.408183714,0.100069096,0.100268714
0.285023416,0.109961508,0.110204382
0.234818530,0.109978788,0.110189676
0.376770042,0.105821512,0.106171640
0.240107104,0.108999560,0.109364974
0.456335082,0.109531004,0.109856020
0.427881278,0.108091828,0.108379708
0.297903716,0.109222472,0.109653306
0.478373232,0.100562820,0.100877360
0.456272902,0.109468198,0.109698190
0.494210114,0.106580846,0.106767410
0.463052108,0.100001416,0.100308306
0.489412530,0.109997878,0.110277756
0.495913652,0.105813526,0.106023314
0.386702626,0.101470812,0.101672532
0.496677796,0.106153608,0.106487062
0.442393338,0.104695660,0.104903584
0.463147704,0.103767930,0.103943546
0.486235992,0.106778890,0.106939764
0.438667550,0.108214220,0.108402276
0.474207292,0.100404224,0.100789566
0.499873684,0.109999498,0.110497736
0.499841990,0.109933628,0.110345846
0.486012406,0.109991752,0.110538322
0.489530330,0.103548952,0.103778320
0.496229732,0.102756332,0.103033002
0.484819356,0.109997670,0.110597120
0.479065160,0.110029506,0.110288946
0.474676580,0.109974998,0.110277924
0.498673228,0.108671524,0.108887122
0.327524356,0.105020448,0.105279932
0.473910190,0.109837304,0.110344584
0.472664106,0.108148948,0.108448454
0.492062826,0.108260884,0.108479012
0.416678658,0.109997430,0.110412422
0.495168334,0.106265242,0.106481744
0.432099990,0.107894238,0.108254254
0.469900790,0.104119120,0.104343296
0.428915696,0.109935748,0.110128378
0.418876750,0.105922954,0.106083928
0.441282360,0.108952986,0.109120296
0.489956480,0.109998182,0.110548392
0.486543112,0.109995414,0.110300400
0.486669284,0.110030176,0.110291030
0.489977590,0.109995220,0.110264012
0.495105018,0.108916336,0.109076432
0.486019358,0.108517048,0.108687240
0.485864934,0.106684740,0.107056028
0.435349884,0.109972338,0.110257062
0.484909676,0.102095634,0.102305912
0.486095254,0.108047418,0.108253240
0.435746048,0.103672246,0.104329760
0.397047864,0.109104112,0.109308992
0.386497972,0.103761532,0.103962588
0.418595226,0.109595976,0.109776782
0.402305952,0.103221490,0.103450540
0.265766028,0.101543114,0.101753098
0.446426660,0.199997552,0.200515744
0.433719786,0.108406954,0.108658904
0.476821888,0.108875018,0.109115168
0.231725712,0.101808404,0.102040822
0.287534406,0.105489810,0.105702050
0.471629832,0.110000106,0.110176554
0.403799398,0.109984536,0.110292622
0.449710256,0.100012946,0.100159250
0.479636524,0.100052270,0.100221908
0.366649174,0.104096274,0.104291632
0.498576746,0.103724950,0.104112964
0.493782406,0.109996454,0.110166184
0.491772318,0.109997266,0.110175688
0.497117274,0.110008114,0.110198412
0.404590298,0.104975268,0.106925524
0.433884640,0.109804316,0.110039872
0.434529192,0.108746116,0.108888416
0.379696332,0.109865014,0.110175648
0.436286504,0.109986112,0.110169066
0.481191238,0.110015782,0.110277814
0.452397206,0.110014874,0.110315616
0.496884466,0.109996836,0.110247800
0.487915602,0.109096892,0.109400280
0.499855798,0.109654930,0.109825610
0.490474470,0.109943782,0.110175308
0.377254738,0.109988434,0.110190850
0.430160572,0.100812634,0.101302672
0.376879850,0.100024550,0.100342770
0.451747226,0.100264274,0.100470360
0.478866326,0.110028696,0.110316674
0.468190116,0.109993426,0.110347396
0.489939802,0.109374252,0.109739744
0.491650516,0.109994778,0.110465008
0.487741986,0.109960532,0.110447322
0.500050328,0.108434922,0.108682158
0.498127898,0.102673134,0.102896422
0.391483388,0.109997878,0.110623726
0.359322528,0.110010424,0.110263054
0.448446542,0.106981092,0.107534376
0.442302432,0.109990146,0.110457442
0.492108860,0.109994548,0.110366774
0.494761636,0.109991400,0.110263128
0.488944240,0.108330126,0.108542876
0.488148348,0.106339496,0.106587326
0.490052354,0.103674530,0.103877506
0.469388030,0.109449940,0.109665408
0.438664530,0.100119582,0.100508560
0.489946454,0.110033508,0.110230608
0.484374994,0.109916822,0.110115828
0.405285724,0.119484200,0.119802908
0.387710248,0.108515094,0.108701858
0.459206070,0.110030244,0.110342848
0.478063874,0.107787156,0.107933320
0.425155190,0.103437584,0.123607932
0.369076874,0.110003350,0.110351088
0.384738476,0.110029708,0.110465702
0.483270844,0.109963184,0.110222004
0.485935446,0.100003628,0.100640102
0.487178338,0.105553802,0.106030388
0.494564420,0.105267578,0.105731450
0.487466346,0.100011062,0.100311644
0.487500378,0.109993756,0.110399670
0.487758492,0.109963214,0.110294396
0.436333288,0.107240940,0.107548932
0.441344506,0.109999570,0.110674510
0.494840580,0.109995358,0.110508552
0.487168364,0.109996428,0.112157586
0.495744228,0.109996656,0.110515262
0.491118756,0.110000552,0.110284466
0.496071752,0.100045426,0.100336410
0.417396790,0.100037666,0.100358340
0.494787654,0.110033620,0.110400028
0.389164138,0.106312690,0.106608384
0.462585086,0.109961724,0.110293058
0.494976490,0.103319660,0.103597466
0.493237620,0.100008228,0.103392398
0.415335350,0.109974984,0.110183114
0.481238042,0.110016014,0.110171576
0.478329632,0.107865672,0.108106868
0.481267986,0.109997516,0.110311482
0.494844530,0.109975340,0.110229062
0.478504420,0.100000296,0.100467346
0.447182998,0.104746722,0.105048576
0.430432434,0.108687080,0.108994260
0.496529334,0.103444062,0.103667020
0.492777652,0.104370368,0.104636370
0.485322094,0.100002656,0.100296016
0.493383884,0.109857082,0.111890700
0.498592668,0.106918970,0.107155492
0.319859536,0.100022936,0.100264824
0.437236276,0.110036784,0.110376002
0.498345894,0.106920768,0.107130240
0.469024388,0.109187128,0.109573526
0.476444090,0.109879720,0.110153482
0.489664266,0.109998388,0.110204686
0.497021846,0.100018800,0.100346476
0.487245932,0.100003306,0.100520330
0.439359986,0.106914344,0.107150602
0.495872568,0.109997314,0.110376462
0.489545634,0.103971126,0.104133242
0.480186168,0.109952190,0.110494530
0.494436376,0.100005640,0.104537046
0.489250986,0.109794098,0.110548156
0.487826416,0.107816328,0.108003376
0.495225922,0.109925616,0.110284338
0.487307214,0.109996526,0.110148738
0.399135574,0.109944844,0.110113626
0.399973640,0.110004540,0.110190774
0.473417142,0.110000536,0.110213296
0.496584240,0.104364926,0.104574502
0.479875018,0.101184040,0.101473488
0.444180124,0.110043480,0.110218286
0.456350798,0.103656024,0.103814388
0.498335814,0.105925148,0.169761604
0.414022580,0.109874906,0.110188820
0.472603018,0.109974082,0.110243204
0.478363060,0.107135490,0.107280468
0.499910822,0.100290666,0.100483264
0.499839452,0.106368872,0.106545650
0.444542730,0.128136674,0.128472860
0.484806732,0.109997732,0.110111090
0.496933074,0.103209898,0.103437426
0.452190376,0.109986156,0.110283860
0.493586560,0.106817386,0.107115322
0.499138816,0.101527386,0.101874046
0.435865918,0.110039052,0.110197676
0.487454024,0.109908892,0.110462146
0.464388818,0.108793948,0.109051846
0.492525002,0.100001140,0.100249762
0.477115776,0.108281478,0.108547354
0.493994142,0.109939774,0.110296218
0.481775580,0.110000582,0.110119428
0.488997312,0.109569784,0.109759630
0.489184020,0.108479810,0.108628124
0.487922986,0.109378164,0.109538178
0.444835456,0.109979350,0.110160378
0.372658212,0.110016584,0.110204322
0.454972664,0.102324604,0.102631094
0.387599170,0.108385458,0.108648156
0.499987074,0.107047912,0.107194244
0.487774962,0.109992416,0.110245176
0.487426946,0.109994546,0.110144904
0.500336868,0.100355796,0.100568602
0.486932224,0.108886352,0.109054344
0.488589154,0.104274664,0.104426100
0.487815478,0.109997094,0.110272002
0.507041336,0.109961484,0.110316294
0.479290770,0.109962008,0.110094552
0.479448028,0.107956752,0.108480168
0.461235690,0.106820292,0.106959530
0.410902628,0.108135682,0.108443784
0.482120882,0.109996592,0.110254742
0.488474662,0.109933534,0.110065172
0.414901716,0.109294444,0.109742754
0.480383054,0.109995418,0.110322268
0.490587710,0.110000362,0.110330236
0.493362898,0.109966198,0.110150610
0.450517772,0.109804292,0.109982306
0.442825156,0.100018108,0.100382548
0.484478216,0.100583982,0.100751458
0.492508762,0.109997362,0.110498338
0.459897602,0.110050356,0.110329122
0.486110140,0.104463104,0.104641410
0.499181640,0.104437010,0.104687856
0.498269034,0.109996978,0.110116010
0.493509936,0.109994572,0.110422324
0.495199560,0.119998950,0.120295882
0.493696364,0.109996336,0.110344356
0.497276908,0.109998042,0.110300306
0.490005998,0.109963924,0.110248648
0.497523058,0.109969652,0.110286824
0.498678154,0.103485636,0.103663064
0.476712992,0.109917860,0.110255748
0.499174354,0.399968430,0.400142778
0.497111948,0.109971248,0.110156044
0.496937468,0.109997022,0.110113980
0.497668276,0.109997414,0.110096428
0.497864782,0.109996164,0.110254422
0.497298734,0.109996056,0.110269238
0.490014650,0.109996444,0.110199346
0.485002420,0.109978318,0.110291156
0.499713662,0.103894576,0.104069670
0.494800184,0.109997336,0.110235516
0.496302338,0.109998426,0.110246354
0.485104994,0.106609688,0.106906816
0.492198334,0.109951614,0.110309510
0.496384924,0.109996130,0.110306270
0.496525926,0.109998700,0.110255768
0.499475212,0.103059250,0.103288748
0.494166414,0.110030052,0.110205506
0.483114066,0.104937832,0.106995068
0.467430082,0.299934456,0.300128750
0.496180884,0.109986804,0.110153884
0.497439984,0.110000450,0.110168960
0.497924058,0.109997820,0.110117296
0.497669180,0.110010354,0.110147558
0.491353678,0.109984652,0.110178854
0.392667698,0.109903138,0.110344956
0.449824330,0.109997650,0.110235368
0.486476192,0.109967620,0.110230324
0.494791290,0.110018254,0.110200586
0.408709572,0.110025240,0.110162770
0.482216686,0.110615668,0.110893948
0.494807392,0.299979242,0.300292290
0.495654976,0.109996814,0.110171570
0.495557788,0.110021780,0.110165350
0.488307182,0.110039678,0.110266442
0.399544324,0.109999610,0.110265120
0.491232278,0.109996574,0.110211282
0.492511102,0.109976356,0.110144730
0.379940958,0.109648662,0.109811834
0.450124000,0.105324254,0.105517042
0.239664864,0.109570492,0.109759090
0.470366026,0.107627098,0.107791288
0.388370820,0.110014966,0.110177954
0.457650154,0.106155912,0.106339782
0.443836446,0.108538996,0.108718674
0.454640046,0.104486766,0.104683250
0.469973858,0.110033722,0.110230012
0.380042390,0.106356474,0.106538400
0.492574156,0.109998120,0.110287342
0.424093092,0.109994920,0.110303308
0.495626080,0.100002968,0.101289688
0.498829244,0.109965370,0.110152334
0.366285482,0.109951222,0.110224116
0.441423166,0.100143052,0.100325782
0.394308380,0.110018160,0.110217996
0.459109976,0.106883158,0.107031678
0.474140536,0.110004114,0.110145696
0.499813076,0.106292684,0.106494096
0.497375658,0.109997246,0.110272432
